2021-06-26 13:28:48,234 - /Users/w/Documents/Github/python_tool/coinTool/pitman.py[line:48] - INFO: {'TDOG': 0.089, 'DOG': 0.251, 'RATIO_DOG': 0.35, 'BTCST': 18.591}
2021-06-26 13:30:02,370 - /Users/w/Documents/Github/python_tool/coinTool/pitman.py[line:48] - INFO: {'TDOG': 0.089, 'DOG': 0.251, 'RATIO_DOG': 0.35, 'BTCST': 18.591}
2021-06-26 13:31:19,389 - /Users/w/Documents/Github/python_tool/coinTool/pitman.py[line:48] - INFO: {'TDOG': 0.089, 'DOG': 0.251, 'RATIO_DOG': 0.35, 'BTCST': 18.591}
2021-06-26 13:32:32,180 - /Users/w/Documents/Github/python_tool/coinTool/pitman.py[line:48] - INFO: {'TDOG': 0.089, 'DOG': 0.251, 'RATIO_DOG': 0.35, 'BTCST': 18.591}
2021-06-26 13:33:47,375 - /Users/w/Documents/Github/python_tool/coinTool/pitman.py[line:48] - INFO: {'TDOG': 0.089, 'DOG': 0.251, 'RATIO_DOG': 0.35, 'BTCST': 18.591}
2021-06-26 13:34:55,780 - /Users/w/Documents/Github/python_tool/coinTool/pitman.py[line:48] - INFO: {'TDOG': 0.089, 'DOG': 0.251, 'RATIO_DOG': 0.35, 'BTCST': 18.809}
2021-06-26 13:36:05,474 - /Users/w/Documents/Github/python_tool/coinTool/pitman.py[line:48] - INFO: {'TDOG': 0.089, 'DOG': 0.251, 'RATIO_DOG': 0.35, 'BTCST': 18.809}
2021-06-26 13:37:19,788 - /Users/w/Documents/Github/python_tool/coinTool/pitman.py[line:48] - INFO: {'TDOG': 0.089, 'DOG': 0.251, 'RATIO_DOG': 0.35, 'BTCST': 18.809}
2021-06-26 13:38:32,646 - /Users/w/Documents/Github/python_tool/coinTool/pitman.py[line:48] - INFO: {'TDOG': 0.089, 'DOG': 0.25, 'RATIO_DOG': 0.36, 'BTCST': 18.809}
2021-06-26 13:39:40,591 - /Users/w/Documents/Github/python_tool/coinTool/pitman.py[line:48] - INFO: {'TDOG': 0.089, 'DOG': 0.25, 'RATIO_DOG': 0.36, 'BTCST': 18.809}
2021-06-26 13:40:53,901 - /Users/w/Documents/Github/python_tool/coinTool/pitman.py[line:100] - INFO: 重启中...
2021-06-26 13:41:14,996 - /Users/w/Documents/Github/python_tool/coinTool/pitman.py[line:97] - INFO:  🚥  ⚒⚒   
2021-06-26 13:41:36,068 - /Users/w/Documents/Github/python_tool/coinTool/pitman.py[line:48] - INFO: {'TDOG': 0.089, 'DOG': 0.25, 'RATIO_DOG': 0.36, 'BTCST': 18.809}
2021-06-26 13:42:49,186 - /Users/w/Documents/Github/python_tool/coinTool/pitman.py[line:48] - INFO: {'TDOG': 0.089, 'DOG': 0.25, 'RATIO_DOG': 0.36, 'BTCST': 18.809}
2021-06-26 13:44:04,126 - /Users/w/Documents/Github/python_tool/coinTool/pitman.py[line:48] - INFO: {'TDOG': 0.089, 'DOG': 0.25, 'RATIO_DOG': 0.36, 'BTCST': 18.809}
2021-06-26 13:45:13,072 - /Users/w/Documents/Github/python_tool/coinTool/pitman.py[line:48] - INFO: {'TDOG': 0.089, 'DOG': 0.25, 'RATIO_DOG': 0.36, 'BTCST': 18.809}
2021-06-26 13:46:22,948 - /Users/w/Documents/Github/python_tool/coinTool/pitman.py[line:48] - INFO: {'TDOG': 0.089, 'DOG': 0.25, 'RATIO_DOG': 0.36, 'BTCST': 18.809}
2021-06-26 13:47:35,131 - /Users/w/Documents/Github/python_tool/coinTool/pitman.py[line:48] - INFO: {'TDOG': 0.089, 'DOG': 0.25, 'RATIO_DOG': 0.36, 'BTCST': 18.809}
2021-06-26 13:48:46,451 - /Users/w/Documents/Github/python_tool/coinTool/pitman.py[line:48] - INFO: {'TDOG': 0.089, 'DOG': 0.25, 'RATIO_DOG': 0.36, 'BTCST': 18.809}
2021-06-26 13:49:56,974 - /Users/w/Documents/Github/python_tool/coinTool/pitman.py[line:48] - INFO: {'TDOG': 0.089, 'DOG': 0.25, 'RATIO_DOG': 0.36, 'BTCST': 18.809}
2021-06-26 13:51:05,076 - /Users/w/Documents/Github/python_tool/coinTool/pitman.py[line:48] - INFO: {'TDOG': 0.089, 'DOG': 0.25, 'RATIO_DOG': 0.36, 'BTCST': 18.809}
2021-06-26 13:52:14,374 - /Users/w/Documents/Github/python_tool/coinTool/pitman.py[line:48] - INFO: {'TDOG': 0.089, 'DOG': 0.25, 'RATIO_DOG': 0.36, 'BTCST': 18.809}
2021-06-26 13:53:23,061 - /Users/w/Documents/Github/python_tool/coinTool/pitman.py[line:48] - INFO: {'TDOG': 0.089, 'DOG': 0.25, 'RATIO_DOG': 0.36, 'BTCST': 18.809}
2021-06-26 13:54:33,347 - /Users/w/Documents/Github/python_tool/coinTool/pitman.py[line:48] - INFO: {'TDOG': 0.089, 'DOG': 0.25, 'RATIO_DOG': 0.36, 'BTCST': 18.809}
2021-06-26 13:55:38,826 - /Users/w/Documents/Github/python_tool/coinTool/pitman.py[line:48] - INFO: {'TDOG': 0.089, 'DOG': 0.251, 'RATIO_DOG': 0.35, 'BTCST': 18.809}
2021-06-26 13:56:49,491 - /Users/w/Documents/Github/python_tool/coinTool/pitman.py[line:48] - INFO: {'TDOG': 0.089, 'DOG': 0.251, 'RATIO_DOG': 0.35, 'BTCST': 18.809}
2021-06-26 13:58:03,634 - /Users/w/Documents/Github/python_tool/coinTool/pitman.py[line:48] - INFO: {'TDOG': 0.089, 'DOG': 0.251, 'RATIO_DOG': 0.35, 'BTCST': 18.809}
