2021-07-08 01:12:25,431 - /Users/w/Documents/Github/python_tool/coinTool/pitman.py[line:49] - INFO: {'TIME': 1625677945431, 'TDOG': 0.088, 'DOG': 0.231, 'RATIO_DOG': 0.38, 'BTCST': 19.805}
2021-07-08 01:13:34,834 - /Users/w/Documents/Github/python_tool/coinTool/pitman.py[line:49] - INFO: {'TIME': 1625678014835, 'TDOG': 0.088, 'DOG': 0.231, 'RATIO_DOG': 0.38, 'BTCST': 19.805}
2021-07-08 01:14:41,549 - /Users/w/Documents/Github/python_tool/coinTool/pitman.py[line:49] - INFO: {'TIME': 1625678081550, 'TDOG': 0.088, 'DOG': 0.231, 'RATIO_DOG': 0.38, 'BTCST': 19.805}
2021-07-08 01:15:46,771 - /Users/w/Documents/Github/python_tool/coinTool/pitman.py[line:49] - INFO: {'TIME': 1625678146772, 'TDOG': 0.088, 'DOG': 0.231, 'RATIO_DOG': 0.38, 'BTCST': 19.805}
2021-07-08 01:16:57,121 - /Users/w/Documents/Github/python_tool/coinTool/pitman.py[line:49] - INFO: {'TIME': 1625678217121, 'TDOG': 0.088, 'DOG': 0.232, 'RATIO_DOG': 0.38, 'BTCST': 19.805}
2021-07-08 01:18:00,934 - /Users/w/Documents/Github/python_tool/coinTool/pitman.py[line:49] - INFO: {'TIME': 1625678280935, 'TDOG': 0.088, 'DOG': 0.232, 'RATIO_DOG': 0.38, 'BTCST': 19.805}
2021-07-08 01:19:07,308 - /Users/w/Documents/Github/python_tool/coinTool/pitman.py[line:49] - INFO: {'TIME': 1625678347308, 'TDOG': 0.088, 'DOG': 0.232, 'RATIO_DOG': 0.38, 'BTCST': 19.805}
2021-07-08 01:20:16,339 - /Users/w/Documents/Github/python_tool/coinTool/pitman.py[line:49] - INFO: {'TIME': 1625678416339, 'TDOG': 0.088, 'DOG': 0.232, 'RATIO_DOG': 0.38, 'BTCST': 19.805}
2021-07-08 01:21:21,818 - /Users/w/Documents/Github/python_tool/coinTool/pitman.py[line:49] - INFO: {'TIME': 1625678481819, 'TDOG': 0.088, 'DOG': 0.232, 'RATIO_DOG': 0.38, 'BTCST': 19.805}
2021-07-08 01:22:29,576 - /Users/w/Documents/Github/python_tool/coinTool/pitman.py[line:49] - INFO: {'TIME': 1625678549576, 'TDOG': 0.088, 'DOG': 0.231, 'RATIO_DOG': 0.38, 'BTCST': 19.805}
2021-07-08 01:24:29,756 - /Users/w/Documents/Github/python_tool/coinTool/pitman.py[line:101] - INFO: 重启中...
2021-07-08 01:24:50,911 - /Users/w/Documents/Github/python_tool/coinTool/pitman.py[line:98] - INFO:  🚥  ⚒⚒   
2021-07-08 01:25:08,078 - /Users/w/Documents/Github/python_tool/coinTool/pitman.py[line:49] - INFO: {'TIME': 1625678708079, 'TDOG': 0.088, 'DOG': 0.232, 'RATIO_DOG': 0.38, 'BTCST': 19.805}
2021-07-08 01:26:16,873 - /Users/w/Documents/Github/python_tool/coinTool/pitman.py[line:49] - INFO: {'TIME': 1625678776873, 'TDOG': 0.088, 'DOG': 0.232, 'RATIO_DOG': 0.38, 'BTCST': 19.805}
