2021-06-27 01:03:57,229 - /Users/w/Documents/Github/python_tool/coinTool/luck.py[line:81] - INFO:  🚥 Luck...
2021-06-27 02:36:34,443 - /Users/w/Documents/Github/python_tool/coinTool/luck.py[line:37] - INFO: {'TIME': 1624732594443, 'TBTC': 16423.258, 'BTC': 31668.846, 'RATIO_BTC': 0.52, 'BUNNY': 13.295}
2021-06-27 02:37:46,793 - /Users/w/Documents/Github/python_tool/coinTool/luck.py[line:37] - INFO: {'TIME': 1624732666794, 'TBTC': 16423.258, 'BTC': 31655.695, 'RATIO_BTC': 0.52, 'BUNNY': 13.273}
2021-06-27 02:38:59,393 - /Users/w/Documents/Github/python_tool/coinTool/luck.py[line:37] - INFO: {'TIME': 1624732739393, 'TBTC': 16416.939, 'BTC': 31709.925, 'RATIO_BTC': 0.52, 'BUNNY': 13.328}
2021-06-27 02:40:11,802 - /Users/w/Documents/Github/python_tool/coinTool/luck.py[line:37] - INFO: {'TIME': 1624732811802, 'TBTC': 16416.939, 'BTC': 31666.837, 'RATIO_BTC': 0.52, 'BUNNY': 13.274}
2021-06-27 02:41:25,092 - /Users/w/Documents/Github/python_tool/coinTool/luck.py[line:37] - INFO: {'TIME': 1624732885093, 'TBTC': 16416.939, 'BTC': 31654.037, 'RATIO_BTC': 0.52, 'BUNNY': 13.265}
2021-06-27 02:42:38,370 - /Users/w/Documents/Github/python_tool/coinTool/luck.py[line:37] - INFO: {'TIME': 1624732958371, 'TBTC': 16416.939, 'BTC': 31726.86, 'RATIO_BTC': 0.52, 'BUNNY': 13.265}
2021-06-27 02:43:53,110 - /Users/w/Documents/Github/python_tool/coinTool/luck.py[line:37] - INFO: {'TIME': 1624733033110, 'TBTC': 16416.939, 'BTC': 31668.074, 'RATIO_BTC': 0.52, 'BUNNY': 13.244}
2021-06-27 02:45:02,146 - /Users/w/Documents/Github/python_tool/coinTool/luck.py[line:37] - INFO: {'TIME': 1624733102147, 'TBTC': 16416.939, 'BTC': 31616.627, 'RATIO_BTC': 0.52, 'BUNNY': 13.245}
2021-06-27 02:46:12,331 - /Users/w/Documents/Github/python_tool/coinTool/luck.py[line:37] - INFO: {'TIME': 1624733172331, 'TBTC': 16416.939, 'BTC': 31635.527, 'RATIO_BTC': 0.52, 'BUNNY': 13.246}
2021-06-27 02:47:24,156 - /Users/w/Documents/Github/python_tool/coinTool/luck.py[line:37] - INFO: {'TIME': 1624733244157, 'TBTC': 16416.939, 'BTC': 31636.074, 'RATIO_BTC': 0.52, 'BUNNY': 13.251}
2021-06-27 02:48:40,412 - /Users/w/Documents/Github/python_tool/coinTool/luck.py[line:37] - INFO: {'TIME': 1624733320412, 'TBTC': 16390.008, 'BTC': 31725.498, 'RATIO_BTC': 0.52, 'BUNNY': 13.231}
2021-06-27 02:50:13,695 - /Users/w/Documents/Github/python_tool/coinTool/luck.py[line:82] - INFO:  🚥 Luck...
2021-06-27 02:50:33,213 - /Users/w/Documents/Github/python_tool/coinTool/luck.py[line:37] - INFO: {'TIME': 1624733433213, 'TBTC': 16390.008, 'BTC': 31647.24, 'RATIO_BTC': 0.52, 'BUNNY': 13.293}
2021-06-27 02:51:38,828 - /Users/w/Documents/Github/python_tool/coinTool/luck.py[line:37] - INFO: {'TIME': 1624733498828, 'TBTC': 16390.008, 'BTC': 31626.789, 'RATIO_BTC': 0.52, 'BUNNY': 13.235}
2021-06-27 02:52:51,049 - /Users/w/Documents/Github/python_tool/coinTool/luck.py[line:37] - INFO: {'TIME': 1624733571049, 'TBTC': 16390.008, 'BTC': 31624.742, 'RATIO_BTC': 0.52, 'BUNNY': 13.236}
2021-06-27 02:54:06,961 - /Users/w/Documents/Github/python_tool/coinTool/luck.py[line:37] - INFO: {'TIME': 1624733646962, 'TBTC': 16390.008, 'BTC': 31624.742, 'RATIO_BTC': 0.52, 'BUNNY': 13.234}
2021-06-27 02:55:17,027 - /Users/w/Documents/Github/python_tool/coinTool/luck.py[line:37] - INFO: {'TIME': 1624733717028, 'TBTC': 16390.008, 'BTC': 31645.494, 'RATIO_BTC': 0.52, 'BUNNY': 13.231}
2021-06-27 02:56:30,784 - /Users/w/Documents/Github/python_tool/coinTool/luck.py[line:37] - INFO: {'TIME': 1624733790785, 'TBTC': 16382.479, 'BTC': 31576.535, 'RATIO_BTC': 0.52, 'BUNNY': 13.235}
2021-06-27 02:57:44,820 - /Users/w/Documents/Github/python_tool/coinTool/luck.py[line:37] - INFO: {'TIME': 1624733864820, 'TBTC': 16360.938, 'BTC': 31590.009, 'RATIO_BTC': 0.52, 'BUNNY': 13.197}
2021-06-27 02:58:59,587 - /Users/w/Documents/Github/python_tool/coinTool/luck.py[line:37] - INFO: {'TIME': 1624733939588, 'TBTC': 16360.938, 'BTC': 31621.665, 'RATIO_BTC': 0.52, 'BUNNY': 13.199}
2021-06-27 03:00:12,809 - /Users/w/Documents/Github/python_tool/coinTool/luck.py[line:37] - INFO: {'TIME': 1624734012810, 'TBTC': 16360.938, 'BTC': 31514.355, 'RATIO_BTC': 0.52, 'BUNNY': 13.199}
2021-06-27 03:01:25,955 - /Users/w/Documents/Github/python_tool/coinTool/luck.py[line:37] - INFO: {'TIME': 1624734085955, 'TBTC': 16360.938, 'BTC': 31547.191, 'RATIO_BTC': 0.52, 'BUNNY': 13.199}
2021-06-27 03:02:41,792 - /Users/w/Documents/Github/python_tool/coinTool/luck.py[line:37] - INFO: {'TIME': 1624734161793, 'TBTC': 16360.938, 'BTC': 31655.797, 'RATIO_BTC': 0.52, 'BUNNY': 13.227}
2021-06-27 03:03:55,880 - /Users/w/Documents/Github/python_tool/coinTool/luck.py[line:37] - INFO: {'TIME': 1624734235880, 'TBTC': 16360.938, 'BTC': 31678.742, 'RATIO_BTC': 0.52, 'BUNNY': 13.227}
2021-06-27 03:05:11,272 - /Users/w/Documents/Github/python_tool/coinTool/luck.py[line:37] - INFO: {'TIME': 1624734311272, 'TBTC': 16360.938, 'BTC': 31632.293, 'RATIO_BTC': 0.52, 'BUNNY': 13.222}
2021-06-27 03:06:21,848 - /Users/w/Documents/Github/python_tool/coinTool/luck.py[line:37] - INFO: {'TIME': 1624734381849, 'TBTC': 16360.938, 'BTC': 31608.521, 'RATIO_BTC': 0.52, 'BUNNY': 13.217}
2021-06-27 03:07:37,514 - /Users/w/Documents/Github/python_tool/coinTool/luck.py[line:37] - INFO: {'TIME': 1624734457514, 'TBTC': 16360.938, 'BTC': 31612.516, 'RATIO_BTC': 0.52, 'BUNNY': 13.247}
2021-06-27 03:08:46,656 - /Users/w/Documents/Github/python_tool/coinTool/luck.py[line:37] - INFO: {'TIME': 1624734526656, 'TBTC': 16360.938, 'BTC': 31673.684, 'RATIO_BTC': 0.52, 'BUNNY': 13.249}
2021-06-27 03:10:03,776 - /Users/w/Documents/Github/python_tool/coinTool/luck.py[line:37] - INFO: {'TIME': 1624734603776, 'TBTC': 16360.938, 'BTC': 31685.93, 'RATIO_BTC': 0.52, 'BUNNY': 13.264}
2021-06-27 03:11:22,500 - /Users/w/Documents/Github/python_tool/coinTool/luck.py[line:37] - INFO: {'TIME': 1624734682501, 'TBTC': 16360.938, 'BTC': 31685.93, 'RATIO_BTC': 0.52, 'BUNNY': 13.264}
2021-06-27 03:12:33,072 - /Users/w/Documents/Github/python_tool/coinTool/luck.py[line:37] - INFO: {'TIME': 1624734753072, 'TBTC': 16360.938, 'BTC': 31685.523, 'RATIO_BTC': 0.52, 'BUNNY': 13.255}
2021-06-27 03:13:42,943 - /Users/w/Documents/Github/python_tool/coinTool/luck.py[line:37] - INFO: {'TIME': 1624734822944, 'TBTC': 16360.938, 'BTC': 31685.174, 'RATIO_BTC': 0.52, 'BUNNY': 13.269}
2021-06-27 03:14:56,620 - /Users/w/Documents/Github/python_tool/coinTool/luck.py[line:37] - INFO: {'TIME': 1624734896620, 'TBTC': 16360.938, 'BTC': 31609.079, 'RATIO_BTC': 0.52, 'BUNNY': 13.264}
2021-06-27 03:16:06,603 - /Users/w/Documents/Github/python_tool/coinTool/luck.py[line:37] - INFO: {'TIME': 1624734966604, 'TBTC': 16360.938, 'BTC': 31554.232, 'RATIO_BTC': 0.52, 'BUNNY': 13.261}
2021-06-27 03:17:20,896 - /Users/w/Documents/Github/python_tool/coinTool/luck.py[line:37] - INFO: {'TIME': 1624735040896, 'TBTC': 16360.938, 'BTC': 31681.42, 'RATIO_BTC': 0.52, 'BUNNY': 13.26}
2021-06-27 03:18:34,118 - /Users/w/Documents/Github/python_tool/coinTool/luck.py[line:37] - INFO: {'TIME': 1624735114119, 'TBTC': 16360.938, 'BTC': 31671.911, 'RATIO_BTC': 0.52, 'BUNNY': 13.29}
2021-06-27 03:19:49,099 - /Users/w/Documents/Github/python_tool/coinTool/luck.py[line:37] - INFO: {'TIME': 1624735189099, 'TBTC': 16360.938, 'BTC': 31651.652, 'RATIO_BTC': 0.52, 'BUNNY': 13.29}
2021-06-27 03:21:03,883 - /Users/w/Documents/Github/python_tool/coinTool/luck.py[line:37] - INFO: {'TIME': 1624735263883, 'TBTC': 16360.938, 'BTC': 31647.216, 'RATIO_BTC': 0.52, 'BUNNY': 13.29}
2021-06-27 03:22:17,888 - /Users/w/Documents/Github/python_tool/coinTool/luck.py[line:37] - INFO: {'TIME': 1624735337888, 'TBTC': 16360.938, 'BTC': 31635.973, 'RATIO_BTC': 0.52, 'BUNNY': 13.29}
